t3_pedal capture — one line per second
bind=true state=Unavailable
t=0s cad=0rpm res=0% pow=0W spd=0.0mph frames=0 Unavailable
t=1s cad=21rpm res=0% pow=2W spd=1.1mph frames=1 Connected
t=2s cad=21rpm res=0% pow=2W spd=1.1mph frames=2 Connected
t=3s cad=21rpm res=0% pow=2W spd=1.1mph frames=3 Connected
t=4s cad=21rpm res=0% pow=2W spd=1.1mph frames=4 Connected
t=5s cad=21rpm res=0% pow=2W spd=1.1mph frames=5 Connected
t=6s cad=21rpm res=0% pow=2W spd=1.1mph frames=6 Connected
t=7s cad=21rpm res=0% pow=2W spd=1.1mph frames=7 Connected
t=8s cad=40rpm res=0% pow=2W spd=1.1mph frames=8 Connected
t=9s cad=40rpm res=0% pow=4W spd=2.1mph frames=9 Connected
t=10s cad=40rpm res=0% pow=4W spd=2.1mph frames=10 Connected
t=11s cad=40rpm res=0% pow=4W spd=2.1mph frames=11 Connected
t=12s cad=33rpm res=0% pow=4W spd=2.1mph frames=12 Connected
t=13s cad=33rpm res=0% pow=4W spd=2.1mph frames=13 Connected
t=14s cad=33rpm res=0% pow=4W spd=2.1mph frames=14 Connected
t=15s cad=33rpm res=5% pow=4W spd=2.1mph frames=15 Connected
t=16s cad=21rpm res=5% pow=4W spd=2.1mph frames=16 Connected
t=17s cad=21rpm res=5% pow=2W spd=1.1mph frames=17 Connected
t=18s cad=21rpm res=5% pow=2W spd=1.1mph frames=18 Connected
t=19s cad=21rpm res=24% pow=2W spd=1.1mph frames=19 Connected
t=20s cad=36rpm res=24% pow=2W spd=1.1mph frames=20 Connected
t=21s cad=36rpm res=24% pow=12W spd=5.3mph frames=21 Connected
t=22s cad=36rpm res=24% pow=12W spd=5.3mph frames=22 Connected
t=23s cad=36rpm res=46% pow=12W spd=5.3mph frames=23 Connected
t=24s cad=34rpm res=46% pow=12W spd=5.3mph frames=24 Connected
t=25s cad=34rpm res=46% pow=41W spd=10.9mph frames=25 Connected
t=26s cad=34rpm res=46% pow=41W spd=10.9mph frames=26 Connected
t=27s cad=34rpm res=42% pow=41W spd=10.9mph frames=27 Connected
t=28s cad=34rpm res=42% pow=41W spd=10.9mph frames=28 Connected
t=29s cad=34rpm res=42% pow=27W spd=8.9mph frames=29 Connected
t=30s cad=34rpm res=42% pow=27W spd=8.9mph frames=30 Connected
t=31s cad=34rpm res=32% pow=27W spd=8.9mph frames=31 Connected
t=32s cad=66rpm res=32% pow=27W spd=8.9mph frames=32 Connected
t=33s cad=66rpm res=32% pow=29W spd=9.2mph frames=33 Connected
t=34s cad=66rpm res=32% pow=29W spd=9.2mph frames=34 Connected
t=35s cad=66rpm res=32% pow=29W spd=9.2mph frames=35 Connected
t=36s cad=78rpm res=32% pow=29W spd=9.2mph frames=36 Connected
t=37s cad=78rpm res=32% pow=63W spd=13.3mph frames=37 Connected
t=38s cad=78rpm res=32% pow=63W spd=13.3mph frames=38 Connected
t=39s cad=78rpm res=32% pow=63W spd=13.3mph frames=39 Connected
t=40s cad=75rpm res=32% pow=63W spd=13.3mph frames=40 Connected
t=41s cad=75rpm res=32% pow=59W spd=12.9mph frames=41 Connected
t=42s cad=75rpm res=32% pow=59W spd=12.9mph frames=42 Connected
t=43s cad=75rpm res=13% pow=59W spd=12.9mph frames=43 Connected
t=44s cad=90rpm res=13% pow=59W spd=12.9mph frames=44 Connected
t=45s cad=90rpm res=13% pow=17W spd=6.7mph frames=45 Connected
t=46s cad=90rpm res=13% pow=17W spd=6.7mph frames=46 Connected
t=47s cad=90rpm res=13% pow=17W spd=6.7mph frames=47 Connected
t=48s cad=82rpm res=13% pow=17W spd=6.7mph frames=48 Connected
t=49s cad=82rpm res=13% pow=18W spd=7.0mph frames=49 Connected
t=50s cad=82rpm res=13% pow=18W spd=7.0mph frames=50 Connected
t=51s cad=82rpm res=13% pow=18W spd=7.0mph frames=51 Connected
t=52s cad=82rpm res=13% pow=18W spd=7.0mph frames=52 Connected
t=53s cad=82rpm res=13% pow=18W spd=7.0mph frames=53 Connected
t=54s cad=82rpm res=13% pow=18W spd=7.0mph frames=54 Connected
t=55s cad=82rpm res=13% pow=18W spd=7.0mph frames=55 Connected
t=56s cad=79rpm res=13% pow=18W spd=7.0mph frames=56 Connected
t=57s cad=79rpm res=13% pow=22W spd=7.8mph frames=57 Connected
t=58s cad=79rpm res=13% pow=22W spd=7.8mph frames=58 Connected
t=59s cad=79rpm res=13% pow=22W spd=7.8mph frames=59 Connected
t=60s cad=79rpm res=13% pow=22W spd=7.8mph frames=60 Connected
t=61s cad=79rpm res=13% pow=17W spd=6.7mph frames=61 Connected
t=62s cad=79rpm res=13% pow=17W spd=6.7mph frames=62 Connected
t=63s cad=79rpm res=4% pow=17W spd=6.7mph frames=63 Connected
t=64s cad=79rpm res=4% pow=17W spd=6.7mph frames=64 Connected
